Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y,Nozare/Objekta veids,Darbojās 2017.gadā,Bibliotēkas vadītājs/direktors,Reģistrācijas nr. LR Uzņēmumu reģistrā,Reģistrācijas datums LR Uzņēmumu reģistrā,Reģistrācijas nr. LR Kultūras ministrijas Bibliotēku reģistrā,Reģistrācijas datums LR Kultūras ministrijas Bibliotēku reģistrā,Juridiskais statuss,Akreditācijas apliecības nr.,Akreditācijas datums,Akreditācijas termiņš,Dibināšanas gads,Sākums,Darbība,Papildus informācija,Ēkas īpašuma forma,Ēkas uzcelšanas gads,Kultūras pieminekļa Valsts aizsardzības Nr.,Teritorijas kopējā platība (m2),Papildu informācija par infrastruktūru,Telpas pieejamas cilvēkiem ar kustību traucējumiem,Ir 3 fāzu elektrības pieslēgums,Telpu kopplatība (m2),Lietotāju vietu skaits bibliotēkā,Aktīvo lietotāju kopskaits 2017.gadā,Bērni un jaunieši līdz 18 gadiem,Pārējie,Fizisko apmeklējumu kopskaits,Fiziskais apmeklējums - Pieaugušie,Fiziskais apmeklējums - Bērni un jaunieši līdz 18 gadiem,Virtuālais apmeklējums,Sociālo tīklu apmeklējums,Izsniegumu kopskaits,No kopējā izsnieguma skaita - bērniem un jauniešiem līdz 18 gadiem,Elektroniski nosūtīto vienību kopskaits,Jaunieguvumu kopskaits,Izslēgto dokumentu kopskaits,Krājumu kopskaits 2017.gada beigās,Bezmaksas Wi-Fi,Integrētā bibliotēku informācijas sistēma,Cita integrētā bibliotēku informācijas sistēma,Datubāžu kopskaits,Printeru kopskaits,Skeneru kopskaits,Kopējamo iekārtu kopskaits,Multifunkcionālo iekārtu kopskaits,Pamatinformācija bibliotēkas vietnē pieejama,Vietnes automātiskās tulkošanas iespēja,Pašapkalpošanas grāmatu izsniegšanas/ nodošanas sistēma,Digitālo kolekciju skaits 2017.gada beigās,Izstāžu kopskaits 2017.gadā,Tematiskie pasākumi,Projektizstrāde,Izdevējdarbība,Zinātniskās pētniecības darbs
" Stāmerienas pagasta bibliotēka",LV-BIB-000317,"Vecstāmeriena, Vecstāmeriena, Stāmerienas pag., Gulbenes nov., LV-4406",57.21452,26.88812,344962,674406,Bibliotēkas,Jā,Spodra Kaļva,90010215372,22.01.2014,BLB0428,08.01.2004,Bibliotēkas struktūrvienība,451A,02.12.2015,02.12.2020,1909,"Pirmsākumi datējami ar 1909. gadu. ;1946.gadā atjaunota pēc Otrā pasaules kara. ","Galvenie darbības virzieni: grāmatu, preses izdevumu izsniegšana, bezmaksas piekļuve internetam, bezvadu internetam; maksas pakalpojumi – kopēšana no bibliotēkas fondā esošiem dokumentiem, izdruka, dokumentu skenēšana; bibliotēkā pieejamo datubāzu izmantošana; novadpētniecības krājuma izmantošana.;",Katra mēneša 1. un 3. piektdiena - metodiskā diena. Apmeklētājus bibliotēka neapkalpo.,Pašvaldības īpašums,1981,,8000.00000000,,,Jā,150.00000000,15,265,85,180.00000000,6028.00000000,4346,1682,,,6797.00000000,496,,576.00000000,534.00000000,7069.00000000,Jā,ALISE,,3.00000000,,,,3.00000000,,,,,16,10,,,
A. Spāģa Dunalkas pamatskolas bibliotēka,LV-BIB-012813,"Dunalkas skola, Dunalkas pag., Durbes nov., LV-3452",56.70165,21.31822,287389,335810,Bibliotēkas,Jā,Gita Žīgure,,,BLB0346,09.12.2003,Pašvaldības iestāde,,,,,,,,Pašvaldības īpašums,1872,,,,,,30.00000000,8,63,47,16.00000000,688.00000000,160,528,,,980.00000000,483,,80.00000000,0.00000000,2777.00000000,,,,0.00000000,,,,,,,,,8,6,,,
Ābeļu pamatskolas bibliotēka,LV-BIB-012697,"Laši 1, Laši, Ābeļu pag., Jēkabpils nov., LV-5212",56.4644,25.93384,259446,619150,Bibliotēkas,Jā,Valda Bērziņa,1012900267,07.02.2000,BLB0191,15.11.2003,Pašvaldības iestāde,,,,1841,,"Savu uzplaukumu bibliotēka piedzīvo direktores Ņ.Pūcītes laikā, kad bibliotēkai veidojas savas pastāvīgas telpas, dokumentācija. Par bibliotekāriem skolas bibliotēkā strādājusi Dzintra Veigure, Paulīna Eglīte, Ausma Bērziņa, Valda Bērziņa. Darbs radoši turpinās pašreizējā direktora J.Gaigala vadībā, tiek piešķirti līdzekļi, piesaistīti sponsori, tiek atbalstīti lasīšanas veicināšanas pasākumi skolā, pagastā.Populārākie- Bērnu žūrija( sadarbībā ar pagasta bibliotēku) un ""Lasītprieks"".;Skola 100% nodrošina ar mācību grāmatām un skolotājus ar jaunāko metodisko literatūru.  Skolotāja Valda Bērziņa ir visu LASĪTPRIEKU darba grupā, kas no 2003.g.(jau 10 gads!) rīko konkursus un pasākumus Jēkabpils, Salas, Viesītes, Aknīstes, Krustpils novadu skolu lasītājiem.;Bibliotēkas telpas(kopš 2011.g.rudens jaunās telpās) tiek izmantotas dažādiem pasākumiem, arī mācību stundām. ;2013.g.nogalē bibliotēka saņem jaunas mēbeles- jaunus plauktus, arī konferenču galdus. 2014.g. turpinās bibliotēkas labiekārtošana. Lai papildinātu bibliotēkas krājumus skolas pēdējā dienā notiek grāmatu ziedošanas koncerts ""Uzdāvini bibliotēkai grāmatu!"" Skolas bibliotēka radoši sadarbojas ar Ābeļu pagasta bibliotēku(grāmatu apmaiņa, pasākumi, ekskursijas, BŽ darbs).;",,Pašvaldības īpašums,2011,,,"2011.gada pavasarī Ābeļu pamatskolai tika atklāta jauna 2 stāvu piebūve ar jaunu sporta zāli. plašu vestibilu, kabinetiem, sanitārajām telpām, datorklasi, arī telpām bibliotēkai.",,,75.00000000,35,144,123,21.00000000,7100.00000000,3000,4100,,,5805.00000000,4958,,244.00000000,621.00000000,7833.00000000,Jā,,,0.00000000,1.00000000,1.00000000,1.00000000,,,,,,9,11,1,,
Adamovas speciālās internātpamatskolas  bibliotēka,LV-BIB-013007,"Adamovas internātskola, Adamova, Vērēmu pag., Rēzeknes nov., LV-4647",56.56203,27.37013,273721,707080,Bibliotēkas,Jā,Natālija Krasņakova,90000046186,12.03.1996,BLB1693,18.10.2004,Pašvaldības iestāde,,,,1962,,"Bibliotēkas darbība tiek organizēta un virzīta tā, lai papildinātu un pilnveidotu izglītības darba saturu skolā kopumā",,Pašvaldības īpašums,1958,,70100.00000000,,,Jā,48.00000000,6,93,77,16.00000000,1217.00000000,182,1035,,,3651.00000000,1076,,39.00000000,0.00000000,12977.00000000,,,,0.00000000,2.00000000,1.00000000,1.00000000,,,,,,11,1,,,
Ādažu bibliotēka,LV-BIB-000692,"Gaujas iela 27B, Ādaži, Ādažu nov., LV-2164",57.08089,24.32737,326438,519844,Bibliotēkas,Jā,Mirdza Dzirniece,Nr.90000048472,11.02.1996,BLB1612,13.09.2004,Pašvaldības struktūrvienība,702A,02.11.2016,02.11.2021,1946,"Rīgas apriņķa IK sēžu protokolos (1946.g.05. augusta Lēmuma Nr.420)         ir ziņas par bibliotēkas darbības atjaunošanu 1946. gadā. Pirmie ieraksti fonda grāmatās sākas ar 1950. gadu, telpas bibliotēkai atradās Ādažu pagasta mājas otrajā stāvā. 1993. gadā bibliotēka tika izvietota vidusskolas telpās apvienojot  skolas un pagasta  daiļliteratūras fondus. No 2015.gada jūnija tā atrodas jaunās, funkcionāli pielāgotās telpās, kuras pašvaldība bibliotēkas vajadzībām nomā no privātīpašnieka SIA “RIAS”. Bibliotēka apkalpo  Ādažu novada iedzīvotājus un skolēnus, nodrošinot ar bibliotekāro, bibliogrāfisko un informacionālo apkalpošanu. ","Bibliotēka veic pasaules kultūras mantojuma — iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu — uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu ,kā arī bibliotēkas krājumā esošās informācijas publiskas pieejamību un izmantošanas nodrošināšanu un bibliotēkas pakalpojumu sniegšanu. Bibliotēka ar drukāto un elektronisko mediju starpniecību informē sabiedrību un lasītājus par iestādē notiekošo, tās pasākumiem, izstādēm, grāmatu jaunumiem utt. Informācija par Ādažu bibliotēkas darbību ir pieejama Ādažu novada mājas lapā www.adazi.lv, www.biblioteka.lv ",,Juridisko personu īpašums,1969,,,,,Jā,261.00000000,30,1405,679,726.00000000,16200.00000000,9633,6567,2646,2678,27231.00000000,5813,,2942.00000000,506.00000000,17672.00000000,Jā,ALISE,,3.00000000,2.00000000,,,2.00000000,Latviešu valoda,,,,83,16,1,,
Ādažu Brīvās Valdorfa skolas bibliotēka,LV-BIB-013110,"Attekas iela 35, Ādaži, Ādažu nov., LV-2164",57.0733,24.3244,325592,519668,Bibliotēkas,Jā,Ingūna Štulberga,40008007030,06.04.1994,BLB1999,20.10.2008,Biedrība,2982,04.12.2014,03.12.2020,2008,8.10.2008.,"Mācību materiālu komplektēšana, uzskaite, apstrāde, sistematizēšana un uzglabāšana. Skolēnu un skolotāju informacionāla un bibliotekāra apkalpošana.",,Juridisko personu īpašums,2008,,8730.00000000,,Jā,Jā,82.00000000,12,395,330,65.00000000,1435.00000000,425,1010,,,5070.00000000,5070,,185.00000000,0.00000000,12567.00000000,Jā,,,0.00000000,1.00000000,1.00000000,1.00000000,,,,,,1,1,,,
Ādažu vidusskolas bibliotēka,LV-BIB-013090,"Gaujas iela 30, Ādaži, Ādažu nov., LV-2164",57.07873,24.33951,326201,520581,Bibliotēkas,Jā,Olga Sasina,4313901280,09.10.2009,BLB1844,06.01.2006,Pašvaldības iestāde,2976,05.11.2014,04.11.2020,1986,1986,"Nodrošināt bibliotēkas informacionālo resursu pieejamību ikvienam bibliotēkas apmeklētājam, sniegt atbalstu kvalitatīvas izglītības procesā, nodrošināt bibliotēkas lietotāju un potenciālo lietotāju ar nepieciešamo informāciju, un piedāvāt saturīgu brīvā laika pavadīšanas iespēju. Skolas bibliotēka palīdz skolēniem attīstīt individuālās potences, kas nepieciešamas mūžizglītības procesā.",,Pašvaldības īpašums,1986,,,,,Jā,45.00000000,2,1441,1361,80.00000000,12950.00000000,350,12600,,,9237.00000000,8488,,3172.00000000,3886.00000000,9250.00000000,,,,0.00000000,1.00000000,,,,Latviešu valoda,,,0,6,,,,
Āgenskalna sākumskolas bibliotēka,LV-BIB-013374,"Kandavas iela 4 k-1, Rīga, LV-1083",56.94948,24.05098,311764,503101,Bibliotēkas,Jā,Aija Gabranova,3511900641,09.07.2007,BLB1712,16.12.2004,Pašvaldības iestāde,3256,02.05.2016,04.05.2022,1994,,,,,,,,,,,66.90000000,20,,,0.00000000,0.00000000,,,,,0.00000000,,,704.00000000,0.00000000,23877.00000000,,,,0.00000000,,,,,,,,,53,6,,,
Āgenskalna Valsts ģimnāzijas bibliotēka,LV-BIB-013081,"Lavīzes iela 2A, Rīga, LV-1002",56.94166,24.07299,310895,504441,Bibliotēkas,Jā,Alda Rubene,3819900703,27.04.2000,BLB1971,27.12.2007,Pašvaldības struktūrvienība,3418,02.05.2017,04.05.2023,1991,1991.g.,"Sniedz iespēju izglītojamajiem apgūt zināšanas, prasmes un iemaņas mūžizglītības tālākattīstībā, intelektuālās konkurences nodrošināšanā Latvijas un Eiropas izglītības telpā. Pamatizglītības un vidējās izglītības standartu un programmu īstenošanai nepieciešamo iespieddarbu un elektronisko dokumentu komplektēšana, uzskaite, apstrāde un uzglabāšana. Bibliotekāro un informacionālo pakalpojumu sniegšana. Lasīšanas un izglītības veicināšanas pasākumu organizēšana un atbalstīšana.",,Pašvaldības īpašums,1930,,852.00000000,,,Jā,118.00000000,20,901,821,80.00000000,32894.00000000,1587,31307,,,58419.00000000,50314,,1955.00000000,1310.00000000,22686.00000000,Jā,ALISE,,1.00000000,3.00000000,1.00000000,1.00000000,,Latviešu valoda,,,,10,8,,,
Aglonas novada centrālā bibliotēka,LV-BIB-000616,"Daugavpils iela 38, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13087,27.00487,224714,686741,Bibliotēkas,Jā,Dzintra Savitska,90000066336,26.03.1996,BLB0168,12.11.2003,Pašvaldības struktūrvienība,350A,11.06.2014,11.06.2019,1945,1945. gads.,"Aglonas novada centrālā bibliotēka ir Aglonas novada domes kultūras, izglītības un informācijas iestāde, kas Bibliotēku likumā noteiktā kartībā reģistrēta Latvijas Republikas Kultūras ministrijā un veic pasaules kultūras mantojuma-iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un tās izmantošanu. Bibliotēka ir Aglonas novada domes izveidota iestāde, kas veic arī novada centrālas bibliotēkas funkcijas, koordinējot pārējo novada publisko bibliotēku darbu, sniedzot metodisko un konsultatīvo palīdzību. Bibliotēkas funkciju veikšana tiek finansēta no Aglonas novada domes līdzekļiem.",,Pašvaldības īpašums,1958,,280.00000000,,Jā,,224.00000000,25,603,255,348.00000000,10087.00000000,7372,2715,1319,6901,26406.00000000,3822,20,1212.00000000,1181.00000000,18957.00000000,Jā,ALISE,,2.00000000,1.00000000,1.00000000,1.00000000,2.00000000,,,,,56,45,1,,
