Name,Address,LAT,LON,CEO,Year,Mission,Additional_information,Handicapped,Active_users,Collections,Wi-Fi
 Stāmerienas pagasta bibliotēka,"Vecstāmeriena, Vecstāmeriena, Stāmerienas pag., Gulbenes nov., LV-4406",57.21452,26.88812,Spodra Kaļva,1909,"Galvenie darbības virzieni: grāmatu, preses izdevumu izsniegšana, bezmaksas piekļuve internetam, bezvadu internetam; maksas pakalpojumi – kopēšana no bibliotēkas fondā esošiem dokumentiem, izdruka, dokumentu skenēšana; bibliotēkā pieejamo datubāzu izmantošana; novadpētniecības krājuma izmantošana.;",Katra mēneša 1. un 3. piektdiena - metodiskā diena. Apmeklētājus bibliotēka neapkalpo.,,265,7069,Jā
A. Spāģa Dunalkas pamatskolas bibliotēka,"Dunalkas skola, Dunalkas pag., Durbes nov., LV-3452",56.70165,21.31822,Gita Žīgure,,,,,63,2777,
Ābeļu pamatskolas bibliotēka,"Laši 1, Laši, Ābeļu pag., Jēkabpils nov., LV-5212",56.4644,25.93384,Valda Bērziņa,1841,"Savu uzplaukumu bibliotēka piedzīvo direktores Ņ.Pūcītes laikā, kad bibliotēkai veidojas savas pastāvīgas telpas, dokumentācija. Par bibliotekāriem skolas bibliotēkā strādājusi Dzintra Veigure, Paulīna Eglīte, Ausma Bērziņa, Valda Bērziņa. Darbs radoši turpinās pašreizējā direktora J.Gaigala vadībā, tiek piešķirti līdzekļi, piesaistīti sponsori, tiek atbalstīti lasīšanas veicināšanas pasākumi skolā, pagastā.Populārākie- Bērnu žūrija( sadarbībā ar pagasta bibliotēku) un ""Lasītprieks"".;Skola 100% nodrošina ar mācību grāmatām un skolotājus ar jaunāko metodisko literatūru.  Skolotāja Valda Bērziņa ir visu LASĪTPRIEKU darba grupā, kas no 2003.g.(jau 10 gads!) rīko konkursus un pasākumus Jēkabpils, Salas, Viesītes, Aknīstes, Krustpils novadu skolu lasītājiem.;Bibliotēkas telpas(kopš 2011.g.rudens jaunās telpās) tiek izmantotas dažādiem pasākumiem, arī mācību stundām. ;2013.g.nogalē bibliotēka saņem jaunas mēbeles- jaunus plauktus, arī konferenču galdus. 2014.g. turpinās bibliotēkas labiekārtošana. Lai papildinātu bibliotēkas krājumus skolas pēdējā dienā notiek grāmatu ziedošanas koncerts ""Uzdāvini bibliotēkai grāmatu!"" Skolas bibliotēka radoši sadarbojas ar Ābeļu pagasta bibliotēku(grāmatu apmaiņa, pasākumi, ekskursijas, BŽ darbs).;",,,144,7833,Jā
Adamovas speciālās internātpamatskolas  bibliotēka,"Adamovas internātskola, Adamova, Vērēmu pag., Rēzeknes nov., LV-4647",56.56203,27.37013,Natālija Krasņakova,1962,"Bibliotēkas darbība tiek organizēta un virzīta tā, lai papildinātu un pilnveidotu izglītības darba saturu skolā kopumā",,,93,12977,
Ādažu bibliotēka,"Gaujas iela 27B, Ādaži, Ādažu nov., LV-2164",57.08089,24.32737,Mirdza Dzirniece,1946,"Bibliotēka veic pasaules kultūras mantojuma — iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu — uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu ,kā arī bibliotēkas krājumā esošās informācijas publiskas pieejamību un izmantošanas nodrošināšanu un bibliotēkas pakalpojumu sniegšanu. Bibliotēka ar drukāto un elektronisko mediju starpniecību informē sabiedrību un lasītājus par iestādē notiekošo, tās pasākumiem, izstādēm, grāmatu jaunumiem utt. Informācija par Ādažu bibliotēkas darbību ir pieejama Ādažu novada mājas lapā www.adazi.lv, www.biblioteka.lv ",,,1405,17672,Jā
Ādažu Brīvās Valdorfa skolas bibliotēka,"Attekas iela 35, Ādaži, Ādažu nov., LV-2164",57.0733,24.3244,Ingūna Štulberga,2008,"Mācību materiālu komplektēšana, uzskaite, apstrāde, sistematizēšana un uzglabāšana. Skolēnu un skolotāju informacionāla un bibliotekāra apkalpošana.",,Jā,395,12567,Jā
Ādažu vidusskolas bibliotēka,"Gaujas iela 30, Ādaži, Ādažu nov., LV-2164",57.07873,24.33951,Olga Sasina,1986,"Nodrošināt bibliotēkas informacionālo resursu pieejamību ikvienam bibliotēkas apmeklētājam, sniegt atbalstu kvalitatīvas izglītības procesā, nodrošināt bibliotēkas lietotāju un potenciālo lietotāju ar nepieciešamo informāciju, un piedāvāt saturīgu brīvā laika pavadīšanas iespēju. Skolas bibliotēka palīdz skolēniem attīstīt individuālās potences, kas nepieciešamas mūžizglītības procesā.",,,1441,9250,
Āgenskalna sākumskolas bibliotēka,"Kandavas iela 4 k-1, Rīga, LV-1083",56.94948,24.05098,Aija Gabranova,1994,,,,,23877,
Āgenskalna Valsts ģimnāzijas bibliotēka,"Lavīzes iela 2A, Rīga, LV-1002",56.94166,24.07299,Alda Rubene,1991,"Sniedz iespēju izglītojamajiem apgūt zināšanas, prasmes un iemaņas mūžizglītības tālākattīstībā, intelektuālās konkurences nodrošināšanā Latvijas un Eiropas izglītības telpā. Pamatizglītības un vidējās izglītības standartu un programmu īstenošanai nepieciešamo iespieddarbu un elektronisko dokumentu komplektēšana, uzskaite, apstrāde un uzglabāšana. Bibliotekāro un informacionālo pakalpojumu sniegšana. Lasīšanas un izglītības veicināšanas pasākumu organizēšana un atbalstīšana.",,,901,22686,Jā
Aglonas novada centrālā bibliotēka,"Daugavpils iela 38, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13087,27.00487,Dzintra Savitska,1945,"Aglonas novada centrālā bibliotēka ir Aglonas novada domes kultūras, izglītības un informācijas iestāde, kas Bibliotēku likumā noteiktā kartībā reģistrēta Latvijas Republikas Kultūras ministrijā un veic pasaules kultūras mantojuma-iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un tās izmantošanu. Bibliotēka ir Aglonas novada domes izveidota iestāde, kas veic arī novada centrālas bibliotēkas funkcijas, koordinējot pārējo novada publisko bibliotēku darbu, sniedzot metodisko un konsultatīvo palīdzību. Bibliotēkas funkciju veikšana tiek finansēta no Aglonas novada domes līdzekļiem.",,Jā,603,18957,Jā
Aglonas novada Grāveru pagasta bibliotēka,"Ezeru iela 21, Grāveri, Grāveru pag., Aglonas nov., LV-5655",56.06062,27.13966,Raisa Bižāne,1954,"Grāveru bibliotēka ir Aglonas novada Grāveru pagasta pašvaldības kultūras, izglītības un informācijas iestāde, kuras mērķis ir iedzīvotāju bibliotekārā, bibliogrāfiskā un informatīvā apkalpošana. Bibliotēka ir atbalsta punkts gan formālajai izglītībai, gan mūžizglītībai. ;",,,172,3919,Jā
Aglonas novada Šķeltovas pagasta bibliotēka,"Daugavpils iela 7, Šķeltova, Šķeltovas pag., Aglonas nov., LV-5653",56.02311,27.00851,Ļena Afanasjeva,1950,"Aglonas novada Šķeltovas pagasta bibliotēka ir pašvaldības izglītojoša, informatīva un kultūras iestāde, kuras mērķis ir iedzīvotāju bibliotekāra, bibliogrāfiskā un informatīva apkalpošana, kā arī iespieddarbu, elektronisko izdevumu un citu dokumentu uzkrāšana, sistematizēšana, kataloģizēšana, bibliografēšana un saglabāšana. Bibliotēkas misija - būt par centru, kas veicina pastāvīgu, nepārtrauktu izglītošanos, atbalstot visu vecuma iedzīvotāju personīgo un sociālo attīstību. ; ",,,116,3138,Jā
Aglonas vidusskolas bibliotēka,"Daugavpils iela 6, Aglona, Aglonas pag., Aglonas nov., LV-5304",56.13465,26.99791,Valentīna Ondzule,1961,"Regulāri tiek papildināts bibliotēkas jaunieguvumu skaits. Ik mēnesi tiek rīkotas tematiskās izstādes, kā arī sadarbībā ar LNB tiek piedāvāta iespēja iepazīties ar ceļojošajām izstādēm. Tiek rīkoti tematiskie pasākumi, radošās darbnīcas, konkursi dažādām vecumu grupām. Darbojas informatīvais stends. Tiek praktizētas bibliotekāras stundas, apmeklētājiem ir iespēja spēlēt dažādas spēles, izmantot interneta pakalpojumus.","Apmeklētāju apkalpošana katru dienu līdz 15:30;Katra mēneša pēdējā piektdiena- metodiskā dien, spodrības diena.",Jā,243,7176,Jā
Aiviekstes pagasta bibliotēka,"1. maija iela 6, Kriškalni, Aiviekstes pag., Pļaviņu nov., LV-5120",56.62157,25.72094,Kristīne Rulle,1978,"Aiviekstes pagasta bibliotēka veic pasaules kultūras mantojuma iespieddarbu, elektronisko izdevumu, rokrakstu un citu dokumentu uzkrāšanu, sistematizēšanu, kataloģizēšanu, bibliografēšanu un saglabāšanu, kā arī nodrošina tajā esošās informācijas publisku pieejamību un izmantošanu. Iesaista bibliotēkas lietotājus lasītveicināšanas pasākumos. Nodrošina daudzveidīgu brīvā laika pavadīšanas iespējas.",,Jā,346,4936,Jā
Aizkraukles novada vidusskolas bibliotēka,"Lāčplēša iela 21, Aizkraukle, Aizkraukles nov., LV-5101",56.6004,25.26115,Zane Sirmace- Liedskalniņa,2016,,,,805,62014,Jā
Aizkraukles pagasta bibliotēka,"Kalna iela 20, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61495,25.22474,Aija Melne,1923,"Bibliotēka ar kvalitatīva krājuma un informācijas tehnoloģiju palīdzību veicina vietējās sabiedrības pašizglītošanos, garīgo attīstību. Bibliotēka pagastā ir kultūras un informācijas centrs.",Pārtraukums no 12:00 līdz 13:00,,192,8681,Jā
Aizkraukles pagasta sākumskolas bibliotēka,"Kalna iela 6, Aizkraukle, Aizkraukles pag., Aizkraukles nov., LV-5101",56.61614,25.21936,,,,,,,0,
